countrySource,countryTarget,value,type,year,month
Indonesia,Netherlands,473.716116,export,2011,11
United States,France,2342.839786,export,2011,11
Canada,France,197.330955,export,2011,11
Brazil,France,273.06087599999995,export,2011,11
United Kingdom,France,2924.246123,export,2011,11
Netherlands,France,5088.114815,export,2011,11
France,France,0.0,export,2011,11
Germany,France,12908.140473,export,2011,11
Italy,France,4934.759732,export,2011,11
Russia,France,673.133949,export,2011,11
China,France,2576.175977,export,2011,11
South Korea,France,192.462168,export,2011,11
Japan,France,650.9180269999999,export,2011,11
India,France,276.063735,export,2011,11
Singapore,France,481.298589,export,2011,11
Indonesia,France,88.415262,export,2011,11
United States,Germany,4223.909618,export,2011,11
Canada,Germany,345.532507,export,2011,11
Brazil,Germany,666.295925,export,2011,11
United Kingdom,Germany,4628.513031,export,2011,11
Netherlands,Germany,14890.716128,export,2011,11
France,Germany,8079.180915999999,export,2011,11
Germany,Germany,0.0,export,2011,11
Italy,Germany,5702.061568,export,2011,11
Russia,Germany,1700.468852,export,2011,11
China,Germany,6469.445783,export,2011,11
South Korea,Germany,820.173806,export,2011,11
Japan,Germany,1971.188163,export,2011,11
India,Germany,583.23684,export,2011,11
Singapore,Germany,495.040613,export,2011,11
Indonesia,Germany,239.558514,export,2011,11
United States,Italy,1292.526378,export,2011,11
Canada,Italy,172.092771,export,2011,11
Brazil,Italy,446.696745,export,2011,11
United Kingdom,Italy,1316.123884,export,2011,11
Netherlands,Italy,2489.935281,export,2011,11
France,Italy,3986.215016,export,2011,11
Germany,Italy,7263.691444,export,2011,11
Italy,Italy,0.0,export,2011,11
Russia,Italy,2667.847775,export,2011,11
China,Italy,2329.746263,export,2011,11
South Korea,Italy,326.14034300000003,export,2011,11
Japan,Italy,357.304259,export,2011,11
India,Italy,348.491029,export,2011,11
Singapore,Italy,72.46775699999999,export,2011,11
Indonesia,Italy,208.661595,export,2011,11
United States,Russia,717.53932,export,2011,11
Canada,Russia,134.776505,export,2011,11
Brazil,Russia,163.842552,export,2011,11
United Kingdom,Russia,630.392214,export,2011,11
Netherlands,Russia,1060.37083,export,2011,11
France,Russia,1137.249157,export,2011,11
Germany,Russia,4424.384791,export,2011,11
Italy,Russia,1111.588272,export,2011,11
Russia,Russia,0.0,export,2011,11
China,Russia,3460.638162,export,2011,11
South Korea,Russia,750.787427,export,2011,11
Japan,Russia,985.066384,export,2011,11
India,Russia,178.95040500000002,export,2011,11
Singapore,Russia,44.184493,export,2011,11
Indonesia,Russia,97.787284,export,2011,11
United States,China,9997.195589,export,2011,11
Canada,China,1704.392745,export,2011,11
Brazil,China,3524.139275,export,2011,11
United Kingdom,China,1356.106344,export,2011,11
Netherlands,China,917.296848,export,2011,11
France,China,1664.614686,export,2011,11
Germany,China,7921.443937000001,export,2011,11
Italy,China,1058.0914699999998,export,2011,11
Russia,China,3043.374636,export,2011,11
China,China,0.0,export,2011,11
South Korea,China,11199.686109,export,2011,11
Japan,China,12939.954511,export,2011,11
India,China,1872.956835,export,2011,11
Singapore,China,3701.210128,export,2011,11
Indonesia,China,2430.216097,export,2011,11
United States,South Korea,3586.149631,export,2011,11
Canada,South Korea,443.595825,export,2011,11
Brazil,South Korea,434.929751,export,2011,11
United Kingdom,South Korea,291.948103,export,2011,11
Netherlands,South Korea,472.958592,export,2011,11
France,South Korea,588.772556,export,2011,11
Germany,South Korea,1424.033318,export,2011,11
Italy,South Korea,411.011576,export,2011,11
Russia,South Korea,1129.25902,export,2011,11
China,South Korea,7509.891345,export,2011,11
South Korea,South Korea,0.0,export,2011,11
Japan,South Korea,5030.637876,export,2011,11
India,South Korea,422.886384,export,2011,11
Singapore,South Korea,1237.221729,export,2011,11
Indonesia,South Korea,1407.873365,export,2011,11
United States,Japan,5563.587239,export,2011,11
Canada,Japan,922.260496,export,2011,11
Brazil,Japan,855.882524,export,2011,11
United Kingdom,Japan,537.261817,export,2011,11
Netherlands,Japan,327.414001,export,2011,11
France,Japan,830.324304,export,2011,11
Germany,Japan,1836.471337,export,2011,11
Italy,Japan,560.0431629999999,export,2011,11
Russia,Japan,1184.812876,export,2011,11
China,Japan,14061.905257,export,2011,11
South Korea,Japan,3491.498294,export,2011,11
Japan,Japan,0.0,export,2011,11
India,Japan,419.58737,export,2011,11
Singapore,Japan,1624.249245,export,2011,11
Indonesia,Japan,2712.533254,export,2011,11
United States,India,1949.983141,export,2011,11
Canada,India,266.399442,export,2011,11
Brazil,India,72.593907,export,2011,11
United Kingdom,India,562.830683,export,2011,11
Netherlands,India,224.185847,export,2011,11
France,India,302.810769,export,2011,11
Germany,India,1216.038418,export,2011,11
Italy,India,426.1617480000001,export,2011,11
Russia,India,405.622223,export,2011,11
China,India,4688.898861,export,2011,11
South Korea,India,1026.375591,export,2011,11
Japan,India,905.923557,export,2011,11
India,India,0.0,export,2011,11
Singapore,India,927.200186,export,2011,11
Indonesia,India,1147.050455,export,2011,11
United States,Singapore,2529.371427,export,2011,11
Canada,Singapore,58.64309599999999,export,2011,11
Brazil,Singapore,154.310589,export,2011,11
United Kingdom,Singapore,504.539924,export,2011,11
Netherlands,Singapore,329.203366,export,2011,11
France,Singapore,501.241288,export,2011,11
Germany,Singapore,832.157129,export,2011,11
Italy,Singapore,228.732205,export,2011,11
Russia,Singapore,210.501206,export,2011,11
China,Singapore,3269.467935,export,2011,11
South Korea,Singapore,1832.432774,export,2011,11
Japan,Singapore,2085.763424,export,2011,11
India,Singapore,1038.793235,export,2011,11
Singapore,Singapore,0.0,export,2011,11
Indonesia,Singapore,1406.744381,export,2011,11
